group00,Marching band,,student917,student183,student950,student860,student182,student538,student699,student258,student382,student401,student042,student392,student528,student162,student569,student100,student195,student813,student362,student746
group01,Swing chorus,,student791,student916,student299,student667,student805,student881,student853,student131,student607,student840,student697,student900,student617,student648,student596,student395,student075,student779,student831,student510
group02,Chess club,,student232,student307,student701,student737,student611,student615,student540,student520,student197,student802,student030,student221,student485,student346,student488,student306,student178,student115,student716,student492
group03,Dungeons and Dragons club,,student962,student657,student674,student896,student509,student455,student345,student953,student135,student193,student273,student059,student643,student067,student444,student384,student475,student410,student171,student670
group04,Jazz dance,,student720,student073,student442,student781,student279,student250,student858,student292,student459,student533,student560,student693,student276,student325,student407,student921,student704,student804,student582,student169
group05,Newspaper,,student630,student031,student105,student124,student516,student054,student958,student222,student911,student651,student572,student114,student767,student669,student888,student151,student341,student329,student214,student414
group06,Yearbook,,student257,student519,student777,student947,student553,student598,student841,student792,student506,student344,student818,student256,student764,student785,student971,student525,student830,student150,student827,student339
group07,Basketball,,student471,student083,student688,student285,student185,student056,student399,student584,student331,student431,student429,student348,student277,student689,student499,student811,student994,student204,student245,student599
group08,Swimming,,student801,student163,student714,student000,student020,student381,student532,student970,student129,student489,student233,student132,student352,student772,student039,student591,student015,student061,student239,student783
group09,Gymnastics,,student238,student426,student989,student408,student028,student587,student945,student728,student177,student543,student703,student810,student986,student622,student440,student518,student294,student559,student894,student984
group10,Drama,,student934,student038,student037,student133,student013,student002,student358,student750,student008,student590,student698,student474,student941,student741,student683,student517,student380,student531,student314,student668
group11,Computer club,,student556,student099,student230,student930,student876,student882,student326,student678,student854,student983,student094,student152,student807,student315,student926,student933,student641,student295,student275,student227
group12,Hip-Hop,,student328,student398,student851,student975,student156,student508,student512,student284,student355,student043,student849,student367,student577,student388,student267,student437,student303,student301,student760,student756
group13,Greenpeace,,student125,student713,student874,student332,student568,student992,student635,student416,student526,student586,student742,student820,student871,student687,student236,student775,student027,student051,student049,student347
group14,Sewing,,student736,student241,student111,student456,student087,student729,student200,student375,student773,student213,student360,student110,student565,student117,student490,student095,student196,student045,student613,student666
group15,Scouts,,student361,student495,student589,student366,student415,student790,student260,student937,student981,student305,student954,student166,student023,student680,student987,student234,student961,student730,student308,student333
group16,Cart racing,,student885,student878,student564,student705,student608,student478,student029,student867,student768,student173,student068,student776,student580,student828,student304,student102,student417,student402,student391,student109
group17,ST radio,,student890,student762,student365,student723,student497,student313,student800,student610,student815,student664,student448,student625,student066,student113,student350,student588,student403,student546,student253,student340
group18,Cheerleading,,student793,student104,student609,student377,student287,student967,student798,student544,student208,student935,student091,student731,student593,student567,student473,student288,student170,student484,student021,student255
group19,Aikido,,student973,student090,student700,student982,student955,student554,student952,student296,student634,student661,student740,student789,student168,student865,student795,student748,student460,student412,student614,student837
manager,Manager,Manager Group.
teachers,Teachers,,teacher000,teacher009,teacher010,teacher011,teacher012,teacher013,teacher014,teacher015,teacher016,teacher017,teacher018,teacher001,teacher019,teacher020,teacher021,teacher022,teacher023,teacher024,teacher025,teacher026,teacher027,teacher028,teacher002,teacher029,teacher030,teacher031,teacher032,teacher033,teacher034,teacher035,teacher036,teacher037,teacher038,teacher003,teacher039,teacher040,teacher041,teacher042,teacher043,teacher044,teacher045,teacher046,teacher047,teacher004,teacher005,teacher006,teacher007,teacher008
